hgnc_id	symbol
10548	ATXN1
33279	ATXN1L
10555	ATXN2
31326	ATXN2L
7106	ATXN3
24173	ATXN3L
10560	ATXN7
22210	ATXN7L1
28713	ATXN7L2
25416	ATXN7L3
37931	ATXN7L3B
32925	ATXN8
10549	ATXN10
890	AUH
28363	AUNIP
891	AUP1
11393	AURKA
24114	AURKAIP1
11390	AURKB
11391	AURKC
14262	AUTS2
13509	AVEN
14188	AVIL
28994	AVL9
894	AVP
30898	AVPI1
895	AVPR1A
896	AVPR1B
897	AVPR2
23252	AWAT1
23251	AWAT2
26564	AXDND1
903	AXIN1
904	AXIN2
905	AXL
910	AZGP1
24002	AZI2
16432	AZIN1
29957	AZIN2
913	AZU1
914	B2M
918	B3GALNT1
28596	B3GALNT2
916	B3GALT1
917	B3GALT2
919	B3GALT4
920	B3GALT5
17978	B3GALT6
921	B3GAT1
922	B3GAT2
923	B3GAT3
20207	B3GLCT
15629	B3GNT2
13528	B3GNT3
15683	B3GNT4
15684	B3GNT5
24141	B3GNT6
18811	B3GNT7
24139	B3GNT8
28714	B3GNT9
21727	B3GNTL1
4117	B4GALNT1
24136	B4GALNT2
24137	B4GALNT3
26315	B4GALNT4
924	B4GALT1
925	B4GALT2
926	B4GALT3
927	B4GALT4
928	B4GALT5
929	B4GALT6
930	B4GALT7
15685	B4GAT1
24123	B9D1
28636	B9D2
14333	BAALC
932	BAAT
25008	BABAM1
1106	BABAM2
933	BACE1
934	BACE2
935	BACH1
14078	BACH2
936	BAD
937	BAG1
938	BAG2
939	BAG3
940	BAG4
941	BAG5
13919	BAG6
942	BAGE
15728	BAGE3
15730	BAGE4
29279	BAHCC1
29153	BAHD1
947	BAIAP2
21649	BAIAP2L1
26203	BAIAP2L2
948	BAIAP3
949	BAK1
30251	BAMBI
17397	BANF1
16172	BANF2
18233	BANK1
13450	BANP
950	BAP1
952	BARD1
953	BARHL1
954	BARHL2
955	BARX1
956	BARX2
957	BASP1
958	BATF
25163	BATF2
28915	BATF3
959	BAX
960	BAZ1A
961	BAZ1B
962	BAZ2A
963	BAZ2B
17868	BBC3
28093	BBIP1
19855	BBOF1
964	BBOX1
966	BBS1
967	BBS2
969	BBS4
970	BBS5
18758	BBS7
30000	BBS9
26291	BBS10
26648	BBS12
14422	BBX
6722	BCAM
23059	BCAN
24131	BCAP29
16695	BCAP31
971	BCAR1
973	BCAR3
974	BCAS1
975	BCAS2
14347	BCAS3
14367	BCAS4
976	BCAT1
977	BCAT2
978	BCCIP
27050	BCDIN3D
983	BCHE
986	BCKDHA
987	BCKDHB
16902	BCKDK
990	BCL2
991	BCL2A1
992	BCL2L1
995	BCL2L2
993	BCL2L10
994	BCL2L11
13787	BCL2L12
17164	BCL2L13
16657	BCL2L14
33624	BCL2L15
998	BCL3
1001	BCL6
1002	BCL6B
1004	BCL7A
1005	BCL7B
1006	BCL7C
1008	BCL9
23688	BCL9L
989	BCL10
